clube_id,pontos_num,preco_num,variacao_num,partida_id,mando,nota,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,vencedor
294.0,36.7,121.93,1.06,179937.0,0,82.5,12,27,2,0,2,1,2,2,0,13,12,0,1,0,0,1,0,3,-1
265.0,46.49999999999999,70.04000000000002,-2.54,179938.0,0,83.5,24,30,2,0,6,9,2,1,0,11,18,0,3,0,0,2,0,2,1
263.0,7.3999999999999995,83.49999999999999,2.1799999999999997,179938.0,1,73.5,17,22,1,0,3,4,2,0,0,11,26,1,3,3,0,2,0,3,-1
287.0,11.4,78.98999999999998,-4.27,179939.0,1,84.0,16,40,0,0,4,6,0,2,0,11,17,0,0,0,0,0,0,1,-1
275.0,40.50000000000001,82.4,4.8100000000000005,179939.0,0,75.5,15,25,0,0,2,5,1,5,0,5,16,0,0,0,4,3,0,0,1
285.0,54.50000000000001,144.29,-0.8999999999999997,179940.0,0,91.0,21,43,0,0,2,6,0,3,0,21,13,0,1,0,5,0,0,0,0
292.0,35.900000000000006,101.83999999999999,2.219999999999999,179940.0,1,82.5,13,39,0,0,5,7,0,3,0,6,21,0,4,0,7,2,0,0,0
315.0,19.0,77.91,-0.8099999999999999,179941.0,0,83.5,10,40,0,0,1,9,0,3,0,21,21,0,3,0,0,1,0,1,0
264.0,26.1,132.4,-1.8099999999999994,179941.0,1,75.0,22,39,1,0,4,4,1,0,0,10,10,1,0,0,0,1,0,1,0
266.0,4.800000000000001,184.56,-14.33,179942.0,0,84.0,15,40,0,0,5,2,0,2,0,12,15,0,1,1,0,0,0,1,-1
284.0,47.99999999999999,143.46,1.2900000000000005,179942.0,1,82.0,12,29,1,0,2,4,1,3,0,7,15,0,2,0,5,3,0,0,1
288.0,42.5,86.85,9.14,179943.0,1,67.0,15,22,0,0,2,3,0,3,0,10,14,0,1,1,6,2,0,0,0
285.0,33.80000000000001,141.87,-1.6200000000000003,179943.0,0,84.5,11,23,0,0,6,7,0,3,0,9,17,0,3,0,5,0,0,0,0
263.0,0.0,130.79999999999998,0.0,179944.0,0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
290.0,0.0,75.23,0.0,179944.0,1,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
275.0,21.800000000000004,79.67999999999999,-0.029999999999999916,179945.0,1,77.0,20,35,2,0,1,1,2,0,0,8,16,0,1,1,0,0,0,2,0
262.0,39.8,118.83,-0.9900000000000011,179945.0,0,85.0,14,42,1,1,2,3,2,2,0,24,22,0,4,0,0,0,0,2,0
262.0,21.7,130.26,-0.8699999999999997,179946.0,1,75.0,13,26,1,0,0,3,1,4,0,12,17,0,3,0,0,2,0,1,0
265.0,34.199999999999996,94.05,0.04000000000000031,179946.0,0,87.5,17,30,0,0,7,12,1,1,0,14,16,0,1,0,0,0,0,1,0
276.0,17.7,136.70999999999998,-12.54,179947.0,0,67.0,11,32,1,0,1,2,1,3,0,7,10,0,1,0,0,3,0,3,-1
294.0,29.3,100.83,5.080000000000001,179947.0,1,81.0,10,34,2,0,4,1,3,1,0,9,14,0,5,0,0,0,0,1,1
266.0,48.49999999999999,141.31,6.67,179948.0,1,85.0,21,43,2,0,5,4,4,1,0,8,18,0,1,0,0,1,0,2,1
276.0,3.9000000000000004,150.42000000000002,-12.819999999999997,179948.0,0,60.5,17,31,1,0,1,3,2,7,0,8,23,1,4,0,0,2,0,5,-1
264.0,21.8,161.82,-0.5599999999999999,179949.0,1,75.0,16,31,0,0,5,3,1,1,0,10,9,0,1,0,0,0,0,1,0
293.0,30.300000000000004,85.31,1.1099999999999999,179949.0,0,85.0,8,57,1,1,3,6,1,3,0,21,17,0,5,0,0,2,0,1,0
316.0,8.100000000000001,44.120000000000005,-2.54,179950.0,0,71.0,22,42,0,0,3,2,0,2,0,14,25,0,3,0,0,1,0,1,-1
275.0,49.900000000000006,96.68999999999997,2.67,179950.0,1,82.5,25,38,1,0,2,3,1,0,0,11,22,0,2,0,5,1,0,0,1
293.0,2.0999999999999996,99.47000000000001,-9.53,179951.0,0,77.5,13,37,0,0,0,1,0,1,0,10,13,0,0,0,0,0,0,2,-1
283.0,61.3,167.81,5.459999999999999,179951.0,1,86.5,12,49,2,0,1,7,2,0,0,13,14,0,1,0,5,0,0,0,1
285.0,19.5,88.7,-3.05,179952.0,0,82.0,21,27,1,0,3,3,1,1,0,10,19,0,6,0,0,2,0,1,0
294.0,22.0,117.52000000000001,-3.4200000000000004,179952.0,1,84.0,18,28,0,0,5,13,1,0,0,9,22,0,3,0,0,1,0,1,0
284.0,36.6,121.03,-1.22,179954.0,1,83.0,12,38,0,0,7,3,0,0,0,12,17,0,2,0,5,0,0,0,0
277.0,45.9,148.14000000000001,2.5599999999999987,179954.0,0,77.5,15,33,0,0,1,2,0,4,0,12,13,0,0,0,5,3,0,0,0
316.0,28.599999999999998,64.43,3.800000000000001,179955.0,1,75.5,29,32,1,1,4,5,1,2,0,6,21,0,2,0,0,0,1,1,0
288.0,9.499999999999998,92.77000000000001,-5.779999999999999,179955.0,0,77.5,21,29,1,0,3,3,1,4,1,8,29,0,4,0,0,2,0,1,0
292.0,23.8,91.96999999999998,-3.33,179956.0,0,73.0,15,27,0,0,3,8,0,1,0,14,13,0,0,0,0,1,0,2,-1
283.0,90.29999999999998,130.65999999999997,15.030000000000001,179956.0,1,81.0,13,31,2,1,2,6,2,1,0,22,15,0,0,0,5,1,0,0,1
290.0,45.10000000000001,96.44,5.75,179957.0,1,78.0,16,29,1,0,3,10,2,4,0,14,8,0,0,0,0,1,0,3,-1
282.0,63.4,99.12,2.6500000000000004,179957.0,0,91.0,8,29,2,1,1,2,3,3,0,26,17,0,1,0,0,0,0,2,1
287.0,21.0,91.95,-2.18,179958.0,1,77.0,20,38,1,0,3,4,2,1,0,13,20,1,2,0,0,0,0,3,-1
282.0,17.099999999999998,93.51,-7.1800000000000015,179958.0,0,81.0,19,23,2,0,2,2,2,4,0,3,20,0,2,0,0,0,0,2,1
263.0,19.5,90.58000000000001,-9.25,179959.0,0,73.0,10,25,1,0,1,4,1,0,0,11,19,0,3,0,0,2,0,2,-1
284.0,52.1,146.65000000000003,3.19,179959.0,1,83.0,19,25,2,0,3,9,2,2,0,14,10,0,3,0,0,1,0,1,1
266.0,12.2,147.25,-3.4300000000000006,179960.0,0,82.0,12,39,1,0,3,4,1,1,0,8,16,0,5,0,0,2,0,1,0
262.0,33.0,119.79,0.6399999999999998,179960.0,1,84.0,16,37,1,0,4,4,1,6,0,14,13,0,1,0,0,2,0,1,0
315.0,33.10000000000001,86.3,1.8500000000000008,179961.0,0,66.5,22,38,0,0,0,3,0,0,0,22,14,0,0,0,0,1,0,1,-1
288.0,70.2,92.11,11.22,179961.0,1,83.0,15,57,0,0,7,3,1,0,0,31,26,0,1,0,5,0,0,0,1
294.0,31.1,76.78999999999999,0.10000000000000053,179962.0,0,70.0,11,23,0,0,4,3,0,1,0,17,10,0,2,0,0,3,0,1,-1
292.0,76.2,114.51,7.49,179962.0,1,83.0,9,30,1,1,4,6,1,1,0,15,12,0,2,0,7,2,0,0,1
277.0,38.0,124.60999999999999,1.84,179963.0,0,78.5,22,26,0,1,3,4,2,2,0,15,14,0,2,0,0,0,0,2,0
290.0,31.599999999999994,92.46,2.9000000000000004,179963.0,1,86.0,14,36,2,0,2,1,2,0,0,11,22,0,3,0,0,3,0,2,0
264.0,30.200000000000003,123.10000000000001,-0.7000000000000002,179964.0,1,85.0,13,32,1,0,3,5,3,4,0,14,14,0,4,1,0,0,0,2,1
276.0,16.0,139.84,-3.3200000000000007,179964.0,0,85.0,13,26,1,0,0,0,2,3,0,9,15,0,4,1,0,3,0,3,-1
263.0,5.2,80.99,-4.23,179965.0,1,80.5,13,32,0,0,2,10,1,2,0,4,15,0,4,0,0,1,0,1,0
287.0,31.299999999999997,99.63999999999999,0.44999999999999996,179965.0,0,79.5,15,21,1,0,3,7,1,3,0,16,13,0,4,0,0,0,0,1,0
277.0,51.6,131.74,0.6899999999999987,179966.0,1,87.0,14,27,3,0,5,3,3,3,0,8,15,0,1,0,0,2,0,1,1
316.0,22.800000000000004,64.72,-2.09,179966.0,0,82.0,14,21,0,1,4,13,1,1,0,5,13,0,2,0,0,2,0,3,-1
